nome;preco_a_vista;parcelas;preco_parcelado
Geladeira / Refrigerador Brastp Duplex BRM44 Frost Free 375 Litros - Branco;2,499,99;1;0
Geladeira Brastp BRM44HK Frost Free Duplex 375L com Compartimento Extrafrio Fresh Zone Inox;3,098,99;12;258,24
Geladeira/Refrigerador Electrolux DC35A Branca 260L Cycle Defrost;1,789,99;1;0
Geladeira Electrolux Tf39 Frost Free 2 Portas 310l;2,045,07;1;0
Geladeira/Refrigerador Electrolux French Door DM84X 579 Litros - Inox;5,998,99;1;0
Geladeira/Refrigerador Electrolux Duplex TW42S Top Freezer com Dispenser De Água 382L Inox;2,975,06;1;0
Refrigerador Electrolux 1 Porta RE31 240 Litros Branco;1,368,99;1;0
Geladeira/Refrigerador Electrolux Duplex DFN41 Frost Free 371L Branca;2,498,99;12;208,24
Geladeira Consul Frost Free Duplex CRM56 450L Espaço Flex Branca com Painel Eletrônico Externo;3,068,07;0;0
Geladeira Consul Cycle Defrost Duplex CRD37EB 334 litros com Freezer Supercapacidade - Branca;2,148,00;12;179
Geladeira Brastp BRO80AK Frost Free 540L com Ice Maker Side Inverse Inox;5,899,99;1;0
Geladeira/Refrigerador Frost Free cor Inox 310L Electrolux (TF39S);2,707,23;0;0
Geladeira Brastp Frost Free 443 litros - BRE57 Inox;4,299,99;12;358,33
Frigobar Midea 93 Litros Black Edition;1,022,07;0;0
Geladeira Consul Frost Free Duplex CRM50 410L Espaço Flex Branca com Controle Interno de Tperatura;2,898,99;12;241,58
Geladeira Consul Frost Free Duplex CRM56 450L Espaço Flex Inox com Painel Eletrônico Externo;3,378,99;12;281,58
Geladeira Panasonic NR-BB53GV3BA 2 Portas 425L Black Glass;4,698,99;12;391,58
Geladeira/Refrigerador Electrolux Duplex DF44S Frost Free Top Freezer 402 litros Inox;3,488,99;12;290,74
Geladeira Brastp Frost Free 462 litros - BRM56 Inox;4,306,72;1;0
Geladeira Brastp Frost Free 400 litros - BRM54 Inox;3,548,99;12;295,74
