nome;preco_a_vista;parcelas;preco_parcelado
Coleção Harry Potter - 7 Volumes (português) Capa Comum + Marcador Exclusivo - 1ª Ed,;129,99;12;10,83
Livro - Harry Potter e a pedra filosofal;26,99;2;13,49
Box Corte De Espinhos E Rosas – 4 Volumes (acompanha Cards E Marcadores De Páginas) - 1ª Ed,;169,79;12;14,14
Box Comorativo Jogos Vorazes - 1ª Ed,;109,9;11;9,99
Livro - Harry Potter e a câmara secreta;24,5;2;12,25
Livro - A rainha vermelha;34,99;3;11,66
Box Trilogia Sombra e Ossos (Acompanha 3 Pôsteres + Sacola Ecobag) - 1ª Ed,;119,9;12;9,99
Livro - Harry Potter e o prisioneiro de Azkaban;27,9;2;13,95
Box Pocket Luxo De O Senhor Dos Anéis + O Hobbit - 1ª Ed,;159,89;12;13,32
Harry Potter e A Pedra Filosofal Capa Dura + Ecobag - Grifinória/Sonserina/Corvinal/Lufa-Lufa - Exclusivo;43,9;4;10,97
Box Os Instrumentos Mortais (acompanha Flâmula, Pôster E Marcadores) - 1ª Ed,;218,35;12;18,19
Livro - O Hobbit + Pôster;31,78;3;10,59
Livro - Harry Potter e o cálice de fogo;36,9;3;12,3
Livro - Estilhaça-me;23,9;2;11,95
Livro - Corte de asas e ruína (Vol, 3 Corte de espinhos e rosas);52,43;5;10,48
Livro - Duna;47,9;4;11,97
Kit Seleção ¿ Especial (seleção, Elite, Escolha, Herdeira, Coroa E Felizes Para Spre + Ecobag) - 1ª Ed,;119,9;12;9,99
Livro - Harry Potter e a ord da fênix;43,5;4;10,87
Livro - Tpestade de guerra;38,99;3;12,99
Livro - Stranger Things: Raízes Do Mal: Série Stranger Things - Volume 1;34,03;3;11,34
Livro - Corte de Gelo e Estrelas: Uma novela do universo de Corte de espinhos e rosas;31,43;3;10,47
Livro - Harry Potter e o enigma do príncipe;30;3;10
Box As Peças Infernais 3 volumes - 1ª Edição;79,12;7;11,3
Box De Livros - As Aventuras De Alice (2 Livros) Alice No País Das Maravilhas E Alice Através Do Espelho - 1ª Ed,;19,9;2;9,95
Livro - A Pequena Sereia e o Reino das Ilusões;41,98;4;10,49
Livro - Duna + Imã Frank Herbert - 2ª Ed,;47,9;4;11,97
Livro - Box Biblioteca Hogwarts;79,9;8;9,98
Livro - Trono destruído: Coletânea definitiva da série A Rainha Vermelha;38,99;3;12,99
Box de Livros - Senhor Dos Anéis (3 Volumes) + Pôster - 1ª Ed,;119,9;12;9,99
Livro -  Algum Lugar nas Estrelas;46,08;4;11,52
Livro - A lâmina da assassina: Histórias de Trono de Vidro;41,93;4;10,48
Box Duna: Primeira Trilogia - 1ª Ed,;169,9;12;14,15
Livro - O Labirinto Do Fauno;47,91;4;11,97
Livro - Trono de Vidro: Reino de Cinzas (Vol, 6);63,29;6;10,54
