nome;preco_a_vista;parcelas;preco_parcelado
Notebook Acer Nitro Gamer Ryzen 8gb 128ssd + 1t 1650 4gb 15,6;7199,00;12;599,91
Notebook Acer Nitro Gamer Ryzen 16gb 256 Ssd 1650 4gb 15,6;7299,00;12;608,25
Notebook Asus Tuf Gamer I7 40gb 2tb Ssd 3060 6gb 15,6 Fhd Customizado;16949,00;12;1,412,41
Notebook Acer Nitro Gamer Ryzen 8gb 256ssd + 1t 1650 4gb 15,6;7299,00;12;608,25
Notebook Asus Tuf Gamer I7 16gb 256 Ssd 3060 6gb 15,6 Fhd Customizado;13749,00;12;1,145,75
Notebook Asus Tuf Gamer I7 16gb 512 Ssd 3060 6gb 15,6 Fhd Customizado;13999,00;12;1,166,58
Notebook Acer Nitro Gamer Ryzen 8gb 512 Ssd 1650 4gb 15,6;7399,00;12;616,58
Notebook Acer Nitro Gamer Ryzen 16gb 128ssd + 1t 1650 4gb 15,6;7499,00;12;624,91
Notebook Acer Nitro Gamer Ryzen 32gb 512ssd + 2t 1650 4gb 15,6;9399,00;12;783,25
Notebook Acer Nitro Gamer Ryzen 8gb 128ssd + 2t 1650 4gb 15,6;7499,00;12;624,91
Notebook Asus Tuf Gamer I7 8gb 512 Ssd 3060 6gb 15,6 Fhd Customizado;13699,00;12;1,141,58
Notebook Acer Nitro Gamer Ryzen 32gb 256 Ssd 1650 4gb 15,6;8399,00;12;699,91
Notebook Acer Nitro Gamer Ryzen 32gb 512 Ssd 1650 4gb 15,6;8749,00;12;729,08
Notebook Asus Tuf Gamer I7 24gb 2tb Ssd 3060 6gb 15,6 Fhd Customizado;16299,00;12;1,358,25
Notebook Acer Nitro Gamer Ryzen 16gb 1tb Ssd 1650 4gb 15,6;8499,00;12;708,25
Notebook Asus Tuf Gamer I7 8gb 256 Ssd 3060 6gb 15,6 Fhd Customizado;13449,00;12;1,120,75
