Geladeira;preco;parcelas;valor_parcelas
Refrigerador Consul CRD37EB com Prateleiras Removíveis e Reguláveis Branco - 334L;1.999,00;10;199,90
Refrigerador Electrolux DFN41 Frost Free com Painel de Controle Externo 371L - Branco;2.499,00;10;249,90
Refrigerador Consul Frost Free CRM39AB Duplex com Prateleiras Altura Flex Branca – 340L;2.498,00;10;249,80
Refrigerador Electrolux Duplex DC35A 260L - Branco;1.999,00;10;199,90
Refrigerador Brastemp BRM44HB Frost Free com Compartimento para Latas e Long Necks Branco - 375L;2.599,00;10;259,90
Refrigerador Electrolux DFX41 Frost Free com Turbo Congelamento 371L - Inox;3.049,00;12;254,08
Refrigerador Electrolux Frost Free TF55 com Prateleira Reversível Branco – 431L;3.499,00;12;291,58
Refrigerador Consul CRM43NB Frost Free Branco - 386 L ;2.795,76;11;254,16
Refrigerador Electrolux DF56 com Icemax Branco - 474L;3.799,00;12;316,58
Refrigerador Electrolux DF56S com Icemax Platinum – 474L;4.399,00;12;366,58
Refrigerador Consul Frost Free Facilite CRB39AK 1 Porta Evox – 342 litros;2.099,00;10;209,90
Refrigerador Brastemp Inverse BRE57AB Frost Free com Espaço Adapt 443L - Branco;3.999,00;12;333,25
Refrigerador Brastemp BRM44HK Frost Free com Gavetão de Legumes Fresh Zone Inox - 375L;3.389,00;12;282,42
Refrigerador Electrolux TW42S Top Freezer com Dispenser de Água Platinum – 382L;3.199,00;12;266,58
Refrigerador Brastemp BRM54HBA Frost Free com Twist Ice 400L - Branco;3.099,00;12;258,25
Refrigerador Brastemp Inverse BRE57AK Frost Free com Painel Eletrônico 443L - Evox;4.349,00;12;362,42
Refrigerador Consul CRM39AK Frost Free com Prateleiras Altura Flex Evox Prata – 340L;2.698,00;10;269,80
Refrigerador Panasonic NR BT50BD3WA Frost Free Econavi 435 Litros Branco;2.959,00;11;269,00
Refrigerador Electrolux Multidoor DM84X Frost Free com Ice Twister 579L - Inox;6.499,00;12;541,58
Refrigerador Electrolux Degelo Prático RE31 com Controle de Temperatura 240L- Branco;1.689,00;10;168,90
Refrigerador Consul Facilite CRB36AB Frost Free com Congelador com Trava 300L - Branco;2.039,00;10;203,90
Refrigerador Consul Frost Free CRM43NK com 2 Portas Inox - 386 L;3.567,00;12;297,25
Refrigerador Frost Free Electrolux TF39 310 Litros;2.299,00;10;229,90
Refrigerador Electrolux DF44S com Prateleira Reversível Platinum – 402L;3.559,00;12;296,58
Refrigerador Electrolux TF55S com Prateleira Reversível Platinum – 431L;3.699,00;12;308,25
Refrigerador Electrolux Frost Free DB53 Bottom com Painel Blue Touch 454L - Branco;3.699,00;12;308,25
Refrigerador Consul CRE44AK Frost Free Duplex com Turbo Freezer Prata – 397L;3.749,00;12;312,42
Refrigerador Brastemp BRM45HK Frost Free com Painel Eletrônico Inox - 375L;3.619,00;12;301,58
Refrigerador Brastemp BRM56AB Frost Free com Turbo Ice 462L - Branco;3.648,00;12;304,00
Refrigerador Electrolux DF44 com Prateleira Reversível Branco – 402L;2.819,00;11;256,27
Refrigerador Brastemp Side Inverse BRO80AK com Ice Maker Evox - 540L;6.199,00;12;516,58
Refrigerador Electrolux Bottom DB84 Frost Free com Painel Blue Touch Branca - 598L;4.647,05;12;387,25
Refrigerador Brastemp BRM54HK Frost Free com Freeze Control Inox - 400L;3.699,00;12;308,25
Refrigerador Brastemp BRM45HB Frost Free com Painel Eletrônico Branco - 375L;2.948,00;11;268,00
Refrigerador Electrolux Infinity DF82 Frost Free com Sistema Multiflow 553L - Branco;4.599,00;12;383,25
Refrigerador Electrolux Bottom DB53X Frost Free com Painel Blue Touch 454L - Inox;4.199,00;12;349,92
Refrigerador Continental TC56 Frost Free com Gavetão de Frutas 472L – Branco;3.099,00;12;258,25
Geladeira Brastemp Frost Free Duplex 400 litros cor Inox com Freeze Control ;3.909,00;12;325,75
Refrigerador Consul CRE44AB Frost Free Duplex com Turbo Freezer Branco – 397L;3.399,00;12;283,25
Refrigerador Electrolux Frost Free IF55S Inverter Top Freezer Platinum - 431L;3.999,00;12;333,25
Refrigerador Continental TC41 Frost Free com Gavetão de Frutas 370L – Branco ;2.499,00;10;249,90
Refrigerador Samsung Inverter Frost Free RS50N Side by Side com Sistema All Around Cooling Inox Look - 501L;8.799,00;12;733,25
Refrigerador Brastemp Side Inverse BRE80AK Frost Free Maxi Evox - 573 L;5.099,00;12;424,92
Refrigerador Consul Frost Free Facilite CRB39AB Branco - 342L ;1.799,00;10;179,90
Refrigerador Esmaltec RCD34 Branco - 276 L;1.899,00;10;189,90
Refrigerador Panasonic NR-BB53GV3B Frost Free com Porta de Vidro Preto - 425L;4.699,00;12;391,58
Geladeira Electrolux 2 Portas 260L Cycle Defrost Branco;1.998,89;10;199,89
Refrigerador Consul CRA30F com Degelo Seco e Gavetão Hortifruti - 261L;1.699,00;10;169,90
Refrigerador Brastemp BRM56AK Frost Free com Espaço Adapt 462L – Evox;4.099,00;12;341,58
Geladeira Refrigerador Electrolux 240 Litros 1 Porta Classe A - RE31;1.999,90;10;199,99
Refrigerador Panasonic Frost Free NR-BT40BD1W com Painel Eletrônico - 387 L ;2.507,70;10;250,77
Refrigerador Brastemp Ative! Inverse Maxi BRE80AB Frost Free com Controle Eletrônico 573L - Branco;4.489,00;12;374,08
Refrigerador Panasonic NR-BB53PV3X Frost Free com Tecnologia Inverter Aço Escovado - 425L;4.199,90;12;349,99
Refrigerador Brastemp Frost Free Inverse 443L Inox BRE57AK;0;0;0
Refrigerador Brastemp BRM57AK Frost Free com Turbo Control 500L - Evox;4.259,00;12;354,92
Refrigerador Electrolux IF55 Frost Free Inverter Top Freezer Branca - 431L;2.949,00;11;268,09
Refrigerador Frost Free Bottom Freezer Inverter Inox 454 Litros (IB53X) ;4.999,00;12;416,58
Refrigerador Electrolux 2 Portas Frost Free 371L Platinum DFX41;2.699,00;10;269,90
Geladeira Consul Frost Free Duplex 340 litros com Prateleiras Altura Flex;2.599,00;10;259,90
Refrigerador Continental Frost Free TC41S Duplex 370 Litros – Prata;2.849,00;11;259,00
Refrigerador Electrolux Frost Free 310 Litros Branco TF39;2.638,96;10;263,90
Geladeira Consul Frost Free Duplex 397 litros com Freezer Embaixo;4.079,00;12;339,92
Refrigerador Brastemp BRM57AB Frost Free com Turbo Ice 500L - Branco;4.119,00;12;343,25
Refrigerador Consul Biplex CRD37 334 Litros;1.899,00;10;189,90
Refrigerador Brastemp Side Inverse BRO80AB com Ice Maker Branco - 540L;6.199,00;12;516,58
Refrigerador Electrolux Infinity 2 Portas 553L Frost Free Inox DF82X;5.496,28;12;458,02
Refrigerador Esmaltec ROC 31 245L 1 Porta;1.589,78;10;158,98
Refrigerador Electrolux DC51X Cycle Defrost Duplex com Freezer Gigante 475 L - Prata;3.299,00;12;274,92
Refrigerador 2 Portas Cycle Defrost RCD38 306 Litros Branco - Esmaltec;2.067,05;10;206,70
Refrigerador Electrolux RFE39 Frost Free com Porta Latas e Gaveta Extra Fria 322L- Branco;2.199,00;10;219,90
Refrigerador Panasonic NR BT50BD3XA Frost Free Econavi 435 Litros Inox;2.999,00;12;249,92
Refrigerador Continental TC56S Frost Free com Gavetão de Frutas 472L – Prata;3.299,00;12;274,92
Refrigerador Electrolux Duplex TF55 Top Freezer 431L;3.547,65;12;295,64
Refrigerador Electrolux Infinity DF82X Frost Free com Painel Blue Touch 553L - Inox;4.999,00;12;416,58
Refrigerador Brastemp Side Inverse BRO80AE com 3 Portas - 540L - Preto;7.779,00;12;648,25
Geladeira/Refrigerador Consul Frost Free 2 Portas CRM39AB 340 Litros Branco;2.599,00;10;259,90
Refrigerador Electrolux Cycle Defrost 260 Litros Branco DC35A;2.198,01;10;219,80
Geladeira Consul Frost Free Duplex 397 litros Inox com freezer Embaixo;3.799,00;12;316,58
Refrigerador Samsung RL4353RBASL Frost Free Inverse Barosa com Compartimento para Vinho Inox - 435L;5.499,00;12;458,25
Geladeira/Refrigerador Consul Frost Free 2 Portas CRE44AB 397 Litros Inverse Branco;3.799,00;12;316,58
Geladeira Frost Free Top Freezer 382L com Dispenser de Água Electrolux (TW42S) ;3.199,00;12;266,58
Geladeira/Refrigerador Esmaltec Cycle Defrost 2 Portas RCD34 276 Litros Preto;1.939,00;10;193,90
Geladeira/Refrigerador Frost Free 500L Brastemp BRM57AB Branca;4.723,95;12;393,66
Geladeira/Refrigerador - Tf56 Top Freezer 474L;3.199,00;12;266,58
Refrigerador Top Freezer 382L Branco (TF42) ;2.799,00;11;254,45
Geladeira/Refrigerador Top Freezer 474L ;3.999,00;12;333,25
Refrigerador Electrolux Side Inverse SS72X Titanium - 504L;8.499,00;12;708,25
Geladeira Brastemp Duplex 2 Portas BRM54 Frost Free 400L;3.199,90;12;266,66
Refrigerador Electrolux Duplex 260L CycleDeFrost Branco 220V;1.998,89;10;199,89
Refrigerador Electrolux 371L 2 Portas Frost Free DFN41;2.499,00;10;249,90
Refrigerador Brastemp Inverse BRE59AB Frost Free com Cooling Control 460L - Branco;4.862,14;12;405,18
Refrigerador Panasonic Frost Free NR-BT55PV2X Tecnologia Econavi Aço Escovado - 483 Litros;3.899,00;12;324,92
Geladeira Brastemp Frost Free Duplex 400 litros Branca com Freeze Control ;3.679,00;12;306,58
Refrigerador Continental Duplex Frost Free 370L Prata 220V TC41S;2.780,00;11;252,73
Refrigerador Electrolux DB84X Frost Free com Bottom Freezer 598L - Inox;5.699,00;12;474,92
Geladeira/Refrigerador Frost Free 375L Brastemp BRM45HB Branca 127V;3.285,45;12;273,79
Refrigerador Electrolux DC51Cycle Defrost com Multiflow 475L - Branco;2.453,52;10;245,35
Refrigerador Continental Duplex Frost Free 370L Branco;2.574,00;10;257,40
Geladeira/Refrigerador Esmaltec Cycle Defrost 2 Portas RCD38 306 Litros Branco;1.999,00;10;199,90
Refrigerador Electrolux 240L Branco 1 Porta 127V RE31;1.499,00;10;149,90
Refrigerador LG Smart Side by Side com Moist Balance Crisper™ e Compressor Linear Inverter™ GC-L247S Aço Escovado – 601L;10.199,00;12;849,92
Refrigerador LG Bottom Freezer Universe Refresh com Moist Balance Crisper™ e Compressor Linear GC-B659BSB Aço Escovado – 451L;6.589,00;12;549,08
Refrigerador Electrolux Top Freezer 474L Branco 127V TF56;4.210,00;12;350,83
Refrigerador / Geladeira Frost Free Duplex Brastemp BRM54HK, 400 litros;3.439,98;12;286,66
Refrigerador Consul Frost Free 342 Litros com Controle de Temperatura CRB39 Branco;1.799,00;10;179,90
Geladeira/Refrigerador Esmaltec Cycle Defrost 1 Porta ROC31 245 Litros Branco;1.699,00;10;169,90
Geladeira Refrigerador 3 Portas Electrolux Frost Free 579 Litros DM84X;6.599,90;12;549,99
Refrigerador Electrolux Frost Free 371 Litros Branco DFN41;2.898,10;11;263,46
Refrigerador Panasonic Frost Free NR-BB53PV3W com Tecnologia Econavi Branco - 425 Litros;3.999,00;12;333,25
Geladeira/Refrigerador Frost Free 375L Brastemp BRM45HB Branca;3.285,45;12;273,79
Geladeira Refrigerador Panasonic 387L Frost Free Painel LED NR-BT40BD1X;3.171,90;12;264,32
Refrigerador Electrolux 2 Port Frost Free 371L Platinum;2.699,00;10;269,90
Refrigerador Electrolux Frost Free 371 Litros Branco DFN41;2.897,61;11;263,42
Refrigerador Brastemp 2 Portas Branco 375L Frost Free;2.799,00;11;254,45
Geladeira/Refrigerador Consul 2 Portas CRD37 334L Branco - Consul;2.199,00;10;219,90
Refrigerador Panasonic NR-BB71PVFXA com Tecnologia Smartsense Aço Escovado - 480L ;4.799,00;12;399,92
Refrigerador Electrolux Frost Free 553 Litros Branco DF82;5.298,60;12;441,55
Geladeira/Refrigerador - Tf55S Top Freezer 431L Platinum S ;3.799,00;12;316,58
Refrigerador Panasonic Frost Free NR-BT55PV2W Tecnologia Econavi Branco - 483 Litros;3.399,00;12;283,25
