Notebooks;preco;parcelas;valor_parcelas
"Notebook Gamer Acer NVIDIA GeForce GTX 1650 Core i5-9300H 8GB 1TB 128GB SSD Tela Full HD 15.6"" Windows 10 Aspire Nitro 5 AN515-54-528V";5.599,00;10;559,90
Notebook Gamer Asus NVIDIA GeForce GTX 1050 AMD Ryzen 5 8GB 1TB Tela Full HD 15.6” Windows 10 M570DD-DM122T;5.199,00;10;519,90
Notebook Dell Core i7-8565U 8GB 2TB Tela 15.6” Linux Inspiron I15-3583-D5XP;4.699,00;10;469,90
Notebook VAIO Core i7-10510U 8GB 1TB Tela 15.6” Windows 10 FE15 VJFE5211X-B0211H;4.999,00;10;499,90
Notebook Asus Core i7-10510U 8GB 1TB Placa de Vídeo 2GB Tela Full HD 15.6” Windows 10 VivoBook X512FJ-EJ551T;5.099,00;10;509,90
"Notebook Asus Core i7- 8565U 8GB 1TB Tela 15,6"" Endless OS X512FJ-EJ227 – Cinza ";4.899,00;10;489,90
Notebook Gamer Dell NVIDIA GeForce GTX 1650 Core i5-9300H 8GB 512GB SSD Tela Full HD 15.6” Windows 10 G3-3590-A50P;7.499,00;10;749,90
Notebook Gamer Aspire Nitro 5 AN517-51-78YY Intel Core I7 8GB 512GB SSD GTX 1650 17,3` Endless OS;6.599,00;10;659,90
"Notebook VAIO Core i7-10510U 8GB 1TB Tela 15.6"" Windows 10 FE15 VJFE5211X-B0211H + Microsoft 365 Personal";5.078,00;10;507,80
Notebook Gamer 2 A.M. NVIDIA GeForce GTX 1050 Core i5-9400 8GB 1TB 128GB SSD Tela Full HD 15.6” Windows 10 E550;5.599,00;10;559,90
Notebook Samsung Core i3-8145U 4G 256GB Tela 13.3'' Windows 10 Home Style S51 NP730XBE-KP1BR - Prata;5.599,00;10;559,90
Notebook Asus Core i7-10510U 8GB 256GB SSD Tela Full HD 14” Windows 10 ZenBook UX434FAC-A6340T;6.999,00;10;699,90
Notebook Gamer Samsung NVIDIA GeForce GTX 1650 Core i5-9300H 8GB 1TB Tela Full HD 15.6” Windows 10 Odyssey NP850XBD-XG1BR;7.199,00;10;719,90
"Notebook Dell Inspiron 3583-MS90P 8ª geração Intel Core i7 8GB 256SSD 15.6&quot; Windows 10 Preto";4.499,00;10;449,90
Notebook Dell Core i7-8565U 8GB 2TB Placa de Vídeo 2GB Tela Full HD 15.6” Linux Inspiron I15-3583-D40B;5.699,00;10;569,90
"MacBook Pro Retina Apple 16&quot;, 16GB, Cinza Espacial, SSD 1 TB, Intel Core i9, 2.3 GHz, Touch Bar e Touch ID - MVVK2BZ/A";32.421,11;10;3.242,11
"MacBook Pro Retina Apple 13,3&quot;, 16GB, Cinza Espacial, SSD 1TB, Intel Core i5, 2.0 GHz, Touch Bar e Touch ID - MWP52BZ/A";24.243,33;10;2.424,33
"MacBook Pro Retina Apple 13,3&quot;, 16GB, Prata, SSD 512GB, Intel Core i5, 2.0 GHz, Touch Bar e Touch ID - MWP72BZ/A";21.954,44;10;2.195,44
"Notebook Asus Core i7-10510U 8GB 256GB SSD Tela Full HD 14"" Windows 10 ZenBook UX434FAC-A6339T";6.999,00;10;699,90
Notebook Dell Vostro 3500 Intel Core I5 11th 8gb 256ssd;0;0;0
Notebook Acer Tela 15.6 i5 8GB 512GB SSD MX350 A515-55G-53QD;0;0;0
"Notebook Lenovo 2 em 1, Intel® CoreT i7 1165G7, 8GB, 256GB SSD, Tela de 14&quot;, Grafite, Ideapad Flex 5i - 82LT0000BR";0;0;0
"Notebook Lenovo V15 i5-1135G7 8GB 256GB SSD Windows 10 Pro 15.6&quot; FHD Antirreflexo 82ME0000BR Preto";0;0;0
Kit Notebook Gamer Legion 5i i7-10750H 16GB 512GB SSD RTX2060 6GB 82CF0002BR + Teclado Lenovo K300;11.599,00;10;1.159,90
"Notebook Gamer Legion 5i i7-10750H 8GB 1TB+128GB SSD RTX2060 6GB W10 15.6&quot; Full HD WVA 82CF0005BR";9.799,00;10;979,90
Kit Notebook Gamer Legion 5i i7-10750H 8GB 1TB+128 SSD RTX2060 6GB 82CF0005BR + Teclado Lenovo K300;11.499,00;10;1.149,90
"Notebook Lenovo 300e Gen 2 Pentium 8GB 128 SSD Win 10 Pro 11.6&quot; Antirreflexo Multitouch 81M9003KBR";4.499,00;10;449,90
"Notebook Acer Aspire 5 A515-54-53VN Intel Core i5-10210U 8GB 256GB SSD M.2 15,6&quot; Full HD Windows 10 Home, Cinza";5.567,71;10;556,77
"Notebook Lenovo Yoga 7i 2 em 1 14&quot; i7-1165G7 8GB 256GB SSD Placa de Vídeo Intel Iris® Xe W10 FHD WVA";7.679,00;10;767,90
"Notebook Lenovo BS145 i7-8565U 8GB 256GB SSD W10 Pro 15.6&quot; HD 81V8000KBR Preto";5.349,00;10;534,90
Notebook Dell Inspiron 7391 i5-10210U SSD 256GB 8GB DDR4 13.3 FHD Windows 10 Home;6.901,50;10;690,15
Notebook Acer Gamer - Tela 15.6 Full HD, i7 10750H, RAM 32GB, SSD 512GB, GeForce RTX 2070, Windows;12.118,89;10;1.211,89
