Livro;preco;parcelas;valor_parcelas
Box Harry Potter Edicao Comemorativa Dos 20 Anos;282,90;3;94,30
Verissimo Antológico: Meio Século De Crônicas, Ou Coisa Parecida;87,90;1;87,90
Livro O Dia Do Relâmpago;47,92;1;47,92
 The Walking Dead: a Queda do Governador - Volume 3 - Robert Kirkman e Jay Bonansinga;41,42;1;41,42
 The Walking Dead: a Queda do Governador - Parte Dois - Volume 4 - Robert Kirkman e Jay Bonansinga;41,42;1;41,42
 A Rainha Vermelha - Vol.1;34,32;1;34,32
 Biblioteca Hogwarts;21,39;1;21,39
Livro A Síndrome De Copérnico;86,90;1;86,90
 A Casa Assombrada - John Boyne;43,92;1;43,92
 1Q84 - Volume 3 - Haruki Murakami;51,92;1;51,92
 O Sétimo Filho - Joseph Delaney;37,43;1;37,43
 Dead Island - Mark Morris;30,95;1;30,95
 Reboot - Volume 1 - Amy Tintera;41,42;1;41,42
 World of Warcraft: Marés da Guerra - Christie Golden;41,42;1;41,42
 Praticamente Inofensiva - Volume 5 - Douglas Adams;33,37;1;33,37
 Maldita - Volume 2 - Chuck Palahniuk;44,90;1;44,90
 Tinta Perigosa - Volume 2 - Melissa Marr;21,88;1;21,88
Diablo Iii: Tempestade De Luz;34,35;1;34,35
 Golias: a Revelação - Scott Westerfeld;67,43;1;67,43
 Battlefield: o Russo - Volume 3 - Andy Mcnab e Peter Grimsdale ;48,68;1;48,68
 Minha Vida - A. P. Tchekhov;34,31;1;34,31
 World of Warcraft: Alvorada dos Aspectos - Richard A. Knaak;43,09;1;43,09
 A Dança do Viúvo: uma Nova Aventura de Três Navarre - Rick Riordan;39,17;1;39,17
 A Identidade - Edição de Bolso;27,50;1;27,50
 Odd Thomas;66,63;1;66,63
 O Sonho de Eva: Dormir Pode Ser um Jogo Perigoso - Chico Anes;38,16;1;38,16
 Paranoia - Livro 2 - J. R. Johansson;37,47;1;37,47
 A Tumba do Imperador;50,00;1;50,00
