Geladeira;preco;preco_desconto;parcelas;valor_parcela
Geladeira/Refrigerador Consul Frost Free Duplex;4.099,00;3.399,00;10;339,90
Geladeira/Refrigerador Brastemp Frost Free Inverse;6.300,00;4.399,00;10;439,90
Geladeira/Refrigerador Brastemp Frost Free Duplex;4.270,00;3.099,00;10;309,90
Geladeira/Refrigerador Electrolux Frost Free  ;4.340,00;2.499,00;10;249,90
Geladeira/Refrigerador Frost Free cor Inox 310L Electrolux (TF39S);3.389,00;2.324,07;12;208,25
Refrigerador Electrolux Cycle Defrost 240 Litros Branco RE31- 127 Volts;1.758,75;1.494,94;12;146,56
Geladeira/Refrigerador Brastemp Frost Free Duplex;3.710,00;2.799,00;10;279,90
Geladeira/Refrigerador Brastemp Frost Free Evox ;8.610,00;6.499,00;10;649,90
Refrigerador Electrolux Cycle Defrost 260 Litros Branco DC35A  220 Volts;2.518,00;1.783,30;12;174,83
Geladeira/Refrigerador Consul Frost Free Duplex;4.900,00;3.699,00;10;369,90
Geladeira/Refrigerador Brastemp Frost Free Inverse;6.020,00;3.999,00;10;399,90
Geladeira/Refrigerador Electrolux Frost Free  ;5.250,00;3.799,00;10;379,90
Geladeira/Refrigerador Continental Frost Free ;3.290,00;2.659,00;10;265,90
Geladeira/Refrigerador Frost Free 310 Litros Branco Electrolux (TF39);2.929,00;2.045,07;12;183,25
Geladeira/Refrigerador Samsung Frost Free Inverter;6.650,00;4.299,00;10;429,90
Geladeira Top Freezer com Dispenser de Água Platinum 400L (DW44S);4.249,00;2.909,97;12;260,75
Refrigerador Electrolux Cycle Defrost 240 Litros Branco RE31- 220 Volts;1.729,14;1.469,77;12;144,10
Geladeira/Refrigerador Continental Frost Free ;3.850,00;2.599,00;10;259,90
Refrigerador Electrolux Cycle Defrost 260 Litros Branco DC35A  127 Volts;2.446,00;1.732,30;12;169,83
Geladeira/Refrigerador Consul Cycle Defrost Duplex;2.399,90;2.248,00;10;224,80
Geladeira/Refrigerador Brastemp Frost Free Duplex;4.200,00;3.099,00;10;309,90
Geladeira/Refrigerador Brastemp Frost Free Evox;4.830,00;3.699,00;10;369,90
Geladeira Consul Cycle Defrost Duplex 334 litros Branca com Freezer Supercapacidade 127V - CRD37EB;2.620,00;2.227,00;12;218,33
Geladeira Electrolux Top Freezer 402L Branco (DF44) 127V;2.855,87;2.427,49;12;237,99
Geladeira/Refrigerador Samsung Frost Free Inverter;5.600,00;3.699,00;10;369,90
Geladeira/Refrigerador Consul Frost Free;4.199,00;3.248,00;10;324,80
Geladeira/Refrigerador Brastemp Frost Free French;8.679,00;5.889,05;10;619,90
Geladeira/Refrigerador Electrolux Frost Free Inox ;5.950,00;4.399,00;10;439,90
Geladeira/Refrigerador Brastemp Frost Free Evox;8.050,00;5.279,00;10;527,90
Geladeira/Refrigerador Electrolux Frost Free ;8.330,00;5.999,00;10;599,90
Geladeira/Refrigerador Continental Frost Free;3.570,00;2.699,00;10;269,90
Geladeira/Refrigerador Consul Frost Free Duplex;3.799,00;3.199,00;10;319,90
Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR-BT40B 387 Litros Aço Escovado;2.899,00;2.754,05;10;289,90
