Notebook;preco;preco_desconto;parcelas;valor_parcela
Notebook Gamer Acer Nitro 5 AN515-54-58CL Intel;6.499,00;5.399,10;12;499,92
Notebook Gamer Acer Nitro 5 AN515-54-574Q Intel Core i5 8GB 512GB SSD GTX 1650 15.6' Full HD Endless;6.999,00;5.224,05;12;458,25
Notebook 2AM E550 CI716256GBW10 Intel Core i7 16GB;9.999,00;5.849,10;12;541,58
Notebook Gamer Acer Nitro 5 AN515-43-R59W AMD R5;6.499,00;5.399,10;12;499,92
Notebook Gamer Predator Helios 300 PH315-53-75N8 Intel Core i7 Windows 10 Home 16GB 512GB SSD RTX 2060 15,6';8.999,00;8.549,05;12;749,92
Notebook Gamer Acer 9º Geração Intel Core i5-9300H 8GB HD 1T+128SSD GeForceGTX1650 Tela 15.6 Polegadas;5.262,11;5.262,11;1;5.262,11
Notebook Gamer Lenovo ideapad Gaming 3i 82CG0002BR;7.999,00;4.949,10;12;458,25
Notebook Gamer Aspire Nitro 5 AN515-55-73R9 Intel Core i7 8GB 512GB GTX 1650 SSD 15,6' Full HD;8.999,00;6.079,05;12;533,25
Notebook Gamer Lenovo ideapad Gaming 3i 82CG0005BR;9.999,00;6.119,10;12;566,58
Notebook Gamer Lenovo Gaming 3i Intel Core i5-10300H, GTX 1650 4GB, 8GB RAM, 256GB SSD, Linux, 15.6 Widescreen, Chameleon Blue - 82CGS00100;5.157,79;5.157,79;1;5.157,79
Notebook Gamer Acer Aspire Nitro 5 AN515-43-R4C3;8.999,00;5.399,10;12;499,92
Notebook Gamer Predator Helios 300 PH315-53-75XA Core i7 16GB 1TB 256SSD RTX 2070 MAX-Q 144Hz 15,6 Win 10;9.999,00;9.499,05;12;833,25
Notebook Acer Aspire Nitro 5 Intel Core I7 512GB SSD GeForce GTX1660TI Tela 15.6 Windows 10;7.699,00;7.699,00;1;7.699,00
"Notebook Gamer Legion 5i i7-10750H 16GB 512GB SSD RTX2060 6GB W10 15.6"" Full HD WVA 82CF0002BR";10.249,00;9.224,10;12;854,08
"Notebook Gamer Dell G15-i1100-M50P 15.6"" FHD 11ª Geração Intel Core i7 16GB 512GB SSD NVIDIA RTX 3060 Windows 11";9.699,00;9.699,00;1;9.699,00
"Notebook Dell Alienware m15 R6 AW15-i1100-P30H 15.6""FHD 11ª Intel i7 16GB 1TBSSD RTX3070 W11 + AW510H e Premium Support";15.519,00;13.999,00;12;1.166,58
Notebook Gamer Aspire Nitro 5 AN515-44-R8HN AMD Ryzen 7 Windows 10 Home 8GB 512GB SSD GTX1650 TI 15,6';6.999,00;6.649,05;12;583,25
"Notebook Dell Alienware m15 R6 AW15-i1100-M10P 15.6"" FHD 11ª ger Intel Core i7 16GB 512GB SSD RTX 3060 Win 11";12.199,00;11.999,00;12;999,92
Notebook Gamer Acer AN515-55-54L9 Intel Core i5;7.999,00;5.129,10;12;474,92
Notebook Gamer Aspire Nitro 5 AN515-44-R4C8 AMD Ryzen 7 16GB 1TB HD 256GB SSD GTX1650 15,6' Endless;8.999,00;6.649,05;12;583,25
"Notebook Dell Alienware m15 R6 AW15-i1100-P30H 15.6""FHD 11ª i7 16GB 1TBSSD RTX3070 + AW510H rt";20.053,33;19.050,66;12;1.671,11
"Notebook Gamer Dell G15-i1100-M50PB 15.6"" FHD 11ª Ger Intel Core i7 16GB 512GB SSD NVIDIA RTX 3060 Windows 11 + Mochila";10.099,00;9.979,00;12;831,58
Notebook Gamer Lenovo Intel Core i7-10750H, NVIDIA GeForce GTX 1650 4GB, 8GB, 512GB SSD, 15.6, Win10 H, Azul - 82CG0005BR;5.999,89;5.999,89;1;5.999,89
"Notebook Gamer Lenovo, Intel CoreT i5, 8GB, 256GB SSD, Tela de 15,6"", Chameleon Blue, ideaPad Gaming 3i - 82CG0002BR";6.799,00;5.918,81;12;493,23
Notebook Gamer Acer Nitro 5 i5 8GB 128GB+1TB PL4 15.6 Linux;5.699,00;5.129,10;10;569,90
Notebook Gamer Acer Nitro 5 AMD Ryzen 5 4600H, NVIDIA GeForce GTX 1650, 8GB RAM, SSD 512GB, 15.6, Windows 10, Preto - AN515-44-R54Q;5.999,89;5.999,89;1;5.999,89
Notebook Gamer Gigabyte G5 Intel Core i5-10500H, 16GB, SSD 512GB, 15,6 FHD 240Hz, Nvidia RTX 3060 6GB, Windows 10 Home, Preto - KC-5BR2130SH;15.488,42;15.488,42;1;15.488,42
Notebook Gamer Acer Nitro 5 Intel Core i7-10750H, GTX 1660TI 6GB, 8GB RAM, 512GB SSD, 15.6, Win 10 Home, Preto/Vermelho - AN515-55-705U;8.222,11;8.222,11;1;8.222,11
"Notebook Gamer Dell G15-i1100-M40P 15.6"" FHD 11ª Geração Intel Core i5 16GB 512GB SSD NVIDIA RTX 3050 Windows 11";7.699,00;7.699,00;1;7.699,00
Notebook Gamer Acer Intel Core i5, 8GB, 1TB, SSD 128GB, NVIDIA GTX 1650, Endless OS - AN515-54-58CL;5.333,22;5.333,22;1;5.333,22
"Notebook Gamer Dell G3 3500-M15P 15.6"" 10ª Geração Intel Core i5 8GB 512GB SSD NVIDIA GTX 1650 Windo";9.500,00;7.970,91;12;699,20
Notebook Gamer Acer Nitro 5 AMD Ryzen 7 8GB 512GB SSD GeForceGTX1650Ti Tela 15.6;6.946,32;6.946,32;1;6.946,32
Gigabyte Aero 15 (Laptop Gamer) i9-11980HK tela 15' UHD 4K Nvidia RTX 3080 SSD 8Tb NVMe RAM 64Gb;71.600,00;68.020,00;12;5.966,67
Notebook Gamer Acer AN515 - IPS Full HD, AMD Ryzen 5, 32GB, SSD 1TB + HD 1TB, GeForce GTX 1650;10.289,99;9.775,49;12;857,50
"Notebook ideaPad Gaming 3i i7-10750H 16GB 512GB SSD GTX 1650 4GB 15.6"" FHD WVA W10 82CG0000BR - Leno";10.499,89;9.764,90;10;1.049,99
"Notebook Lenovo, Intel  Core  i7 10750H, 8GB, 512GB SSD, 15,6"", GTX1650, Ideapad Gaming 3i, Chameleon Blue - 82CG0005BR";9.343,00;6.731,36;12;560,95
"Notebook  Alienware m15 R6 AW15-i1100-M10M 15.6"" FHD 11ªg  i7 16GB 512GBSSD RTX 3060+Monitor";23.503,22;22.328,06;12;1.958,60
"Notebook Gamer Dell G15-a0500-MM15P 15.6"" FHD AMD Ryzen 5 16GB 512GB SSD NVIDIA RTX 3050 Windows 11";7.399,00;7.399,00;1;7.399,00
"Notebook Gamer Dell G15-i1000-U10P 15.6"" FHD 10ª Geração Intel Core i5 8GB 256GB SSD NVIDIA GTX 1650 Linux";6.049,00;6.049,00;1;6.049,00
"Notebook Gamer Dell G15-i1100-M30P 15.6"" FHD 11ª Geração Intel Core i5 8GB 512GB SSD NVIDIA RTX 3050 Windows 11";7.099,00;7.099,00;1;7.099,00
