Livro;preco;preco_desconto;parcelas;valor_parcela
 A garota do lago;39,90;8,40;1;8,40
 BOX HARRY POTTER EDIÇÃO COMEMORATIVA 20 ANOS - CAPA DURA;499,90;237,41;12;20,83
 Box Trilogia O Senhor dos Anéis;199,90;98,00;6;16,33
 As crônicas de Nárnia - volume único;99,90;29,90;1;29,90
 O pequeno príncipe;21,90;10,70;1;10,70
 Box Sherlock Holmes;139,90;79,90;5;15,98
 Harry potter e a pedra filosofal;38,90;17,90;1;17,90
 Corte de chamas prateadas (Vol. 4 Corte de espinhos e rosas) – Edição de colecionador;69,90;48,90;3;16,30
 Corte de espinhos e rosas (Vol. 1);54,90;38,40;2;19,20
 Box O castelo animado;139,90;93,01;6;16,32
 O Hobbit + Pôster;59,90;31,90;2;15,95
 Harry Potter e o prisioneiro de Azkaban;49,90;27,90;1;27,90
 A rainha vermelha;42,90;30,42;1;30,42
 Coleção Agatha Christie - Box 1;109,90;54,90;3;18,30
 O príncipe cruel (Vol. 1 O Povo do Ar);54,90;38,40;2;19,20
 Corte de asas e ruína (Vol. 3 Corte de espinhos e rosas);74,90;47,61;1;47,61
 Harry Potter e a câmara secreta;39,90;24,90;1;24,90
 Corte de névoa e fúria (Vol. 2 Corte de espinhos e rosas);74,90;52,40;3;17,47
 Harry Potter e a câmara secreta;39,90;24,90;1;24,90
 Harry Potter e o cálice de fogo;69,90;37,90;2;18,95
 Corte de Gelo e Estrelas;44,90;31,40;2;15,70
 O guia definitivo do mochileiro das galáxias;99,90;45,90;3;15,30
 Cidade da Lua Crescente: Casa de terra e sangue (Vol. 1) - Edição Revista;79,90;55,90;3;18,63
 Trono de Vidro: Coroa da meia-noite (Vol. 2);54,90;38,40;2;19,20
 Trono de vidro (Vol. 1);54,90;39,40;2;19,70
 O diário perdido de Gravity falls;59,90;53,91;1;53,91
 Fahrenheit 451;49,90;22,90;1;22,90
 O rei perverso (Vol. 2 O Povo do Ar);54,90;38,40;2;19,20
 A rainha do nada (Vol. 3 O Povo do Ar);54,90;38,40;2;19,20
 Harry Potter e o enigma do príncipe;64,90;30,90;2;15,45
 Harry Potter e a pedra filosofal - Edição ilustrada;129,90;64,00;4;16,00
 Harry potter e a câmara secreta;39,90;22,90;1;22,90
 Harry Potter e as relíquias da morte;69,90;35,90;2;17,95
 Box Trilogia Princesa das Cinzas;129,90;92,53;6;16,23
 Box A Saga dos Corvos – acompanha marcadores e conto inédito;169,90;112,96;7;16,99
 Harry Potter e o cálice de fogo - EDIÇÃO ILUSTRADA;189,90;93,86;6;16,47
 Coleção Harry Potter - 7 volumes;159,99;148,79;1;148,79
 Harry potter e o prisioneiro de Azkaban;49,90;23,90;1;23,90
 Harry Potter e a ordem da fênix;69,90;43,40;2;21,70
 Os Testamentos;54,90;23,90;1;23,90
 Da Terra à Lua;19,90;7,80;1;7,80
 A guerra dos tronos;82,90;58,86;2;32,70
 Arsène Lupin, o ladrão de casaca;29,90;12,65;1;12,65
 O diário perdido de Gravity falls;52,95;52,95;1;52,95
 Trono destruído;47,90;34,02;1;34,02
 O pequeno príncipe - Bolso;11,90;8,50;1;8,50
 Tempestade de guerra;47,90;34,02;1;34,02
 A paciente silenciosa;29,90;26,91;1;26,91
 Coleção Agatha Christie - Box 5;109,90;52,90;3;17,63
 O Silmarillion;69,90;37,80;2;18,90
 Harry potter e o cálice de fogo;59,90;28,90;1;28,90
 A prometida;39,90;24,90;1;24,90
 O Labirinto Do Fauno;59,90;30,90;2;15,45
 Harry Potter e o prisioneiro de Azkaban - Ilustrado;139,90;74,80;4;18,70
 Como o Rei de Elfhame aprendeu a odiar histórias;69,90;44,90;2;22,45
 George Orwell: 1984 + A revolução dos bichos;49,90;29,00;1;29,00
 Assassinato no Expresso do Oriente;44,90;25,30;1;25,30
 Harry Potter e a câmara secreta - Ilustrado;129,90;64,80;4;16,20
 Fogo & Sangue – Volume 1;72,90;51,75;1;51,75
 A vida invisível de Addie LaRue;59,90;43,00;2;21,50
 O último desejo - The Witcher - A saga do bruxo Geralt de Rívia;49,90;29,90;1;29,90
 A Realidade de Madhu;39,90;25,90;1;25,90
 Um mistério no Caribe;44,90;26,50;1;26,50
 Gravity Falls - Lendas Perdidas;39,90;35,91;1;35,91
 Animais fantásticos e onde habitam: o roteiro original;69,90;31,90;2;15,95
 Box Biblioteca Hogwarts;159,90;93,59;6;16,42
 Admirável mundo novo;49,90;20,80;1;20,80
 HARRY POTTER E A PEDRA FILOSOFAL (CAPA DURA) – Edição Comemorativa dos 20 anos da Coleção Harry Potter;29,94;25,45;1;25,45
 Procure nas cinzas;59,90;39,63;1;39,63
 Coleção Agatha Christie - Box 4;109,90;54,90;3;18,30
 Arsène Lupin contra Herlock Sholmes;29,90;12,00;1;12,00
 A traição;39,90;31,00;2;15,50
 Coleção Agatha Christie - Box 7;109,90;54,69;3;18,23
 BOX HARRY POTTER TRADICIONAL;180,81;162,73;2;90,41
 Sombra e Ossos;49,00;28,62;1;28,62
 Trono de Vidro: Herdeira do fogo (Vol. 3);64,90;41,31;1;41,31
 Breakable (Vol. 2 Contornos do coração);54,90;4,50;1;4,50
 Vinte mil léguas submarinas;29,90;9,95;1;9,95
 H.P. Lovecraft - Medo Clássico - Vol. 1 - Cosmic Edition;64,90;48,70;3;16,23
 Coleção Agatha Christie - Box 2;109,90;64,90;4;16,23
 Duna;89,90;43,11;1;43,11
 Princesa das cinzas (Princesa das cinzas – Livro 1);49,90;28,90;1;28,90
 Trono de Vidro: Reino de Cinzas (Vol. 6);94,90;66,40;4;16,60
 Em Algum Lugar nas Estrelas;60,00;48,60;1;48,60
 Trono de Vidro: Império de Tempestades (Vol. 5);79,90;55,90;3;18,63
 Enola Holmes: O caso do marquês desaparecido;39,90;27,90;1;27,90
 Billy Summers;69,90;69,90;1;69,90
 A rainha do fogo;69,90;37,90;2;18,95
 Convite para um homicídio;44,90;31,40;2;15,70
 Coleção Agatha Christie - Box 3;109,90;54,90;3;18,30
 League of Legends: Reinos de Runeterra;79,90;41,90;2;20,95
 HARRY POTTER E O CÁLICE DE FOGO (CAPA DURA) – Edição Comemorativa dos 20 anos da Coleção Harry Potter;79,90;39,90;2;19,95
 Princesas;115,00;83,69;2;45,00
 A Convenção Das Aves;79,90;39,90;2;19,95
 Matadouro-Cinco;59,90;29,90;1;29,90
 Os contos de Beedle, o bardo;44,90;22,30;1;22,30
 Viagem ao centro da Terra;29,90;9,95;1;9,95
 As brumas de Avalon;129,90;60,90;4;15,23
 O Senhor dos Anéis: A Sociedade do Anel;69,90;35,80;2;17,90
 Os pergaminhos vermelhos da magia (Vol. 1 As Maldições Ancestrais);49,90;29,90;1;29,90
 Coleção Agatha Christie - Box 6;109,90;54,90;3;18,30
 Meu castelo de princesas;119,00;62,90;4;15,73
 As irmãs esquisitas;24,90;22,41;1;22,41
 Cidade dos ossos (Vol. 1 Os Instrumentos Mortais);54,90;28,60;1;28,60
 Harry Potter e a pedra filosofal;29,99;26,99;1;26,99
 Frozen Febre Congelante;45,00;29,90;1;29,90
 O VAMPIRO LESTAT (CAPA DURA);79,90;56,90;3;18,97
 Doutora Brinquedos;26,90;26,90;1;26,90
 Misery;54,90;38,40;2;19,20
 Star Wars: Manual do império;99,90;32,89;2;16,45
 Bom dia, Verônica;59,90;39,80;2;19,90
 HARRY POTTER E A ORDEM DA FÊNIX (CAPA DURA) – Edição Comemorativa dos 20 anos da Coleção Harry Potter;94,90;52,90;3;17,63
 Pássaro e serpente (Vol. 1);49,90;34,90;1;34,90
 A lâmina da assassina;59,90;39,90;2;19,95
 Os crimes ABC;44,90;27,50;1;27,50
 Os filhos de Húrin;46,12;41,51;1;41,51
 Easy (Vol. 1 Contornos do coração);54,90;9,40;1;9,40
 O terceiro gêmeo;54,90;54,90;1;54,90
 AURORA ASCENDE;59,90;39,90;2;19,95
 Uma janela em Copacabana;57,90;46,32;1;46,32
 Dragões de Éter;49,00;23,90;1;23,90
 HARRY POTTER E A CÂMARA SECRETA (CAPA DURA) – Edição Comemorativa dos 20 anos da Coleção Harry Potter;59,90;33,00;2;16,50
 Deuses americanos;64,90;29,90;1;29,90
 Harry potter e o enigma do príncipe;54,90;32,80;2;16,40
 A fúria dos reis;82,90;59,90;3;19,97
 Star Wars: O Código do Caçador de Recompensa;69,90;30,90;2;15,45
 A sereia;39,90;24,60;1;24,60
 A batalha do apocalipse;64,90;32,90;2;16,45
 O temor do sábio (A Crônica do Matador do Rei – Livro 2);69,90;65,01;2;34,95
 Mapa dos dias;79,90;37,90;2;18,95
 A espada do destino - The Witcher - A saga do bruxo Geralt de Rívia;49,90;34,90;2;17,45
 Rainha das chamas (Princesa das cinzas – Livro 3);49,90;36,30;2;18,15
 A queda de Gondolin;59,90;32,90;2;16,45
 Contos da Academia dos Caçadores de Sombras;69,90;38,90;2;19,45
 Box o reino secreto - Série II;74,90;35,90;2;17,95
 Cidade dos etéreos;59,90;51,22;1;51,22
 Coleção Agatha Christie - Box 8;109,90;64,00;4;16,00
 A casa da floresta;79,90;45,90;3;15,30
 HARRY POTTER E AS RELÍQUIAS DA MORTE (CAPA DURA) – Edição Comemorativa dos 20 anos da Coleção Harry Potter –;84,90;45,90;3;15,30
 Dance of Thieves;64,90;46,80;3;15,60
 Rastro de Sangue: O Grande Houdini;64,90;44,90;2;22,45
 Dragões de Éter;59,00;24,90;1;24,90
 Box Alice No País Das Maravilhas E Alice Através Do Espelho + Alice Para Colorir;79,90;31,41;1;31,41
 Trono de vidro: Rainha das sombras (Vol. 4);64,90;39,90;2;19,95
 Destruidor de mundos;49,90;39,90;2;19,95
 Fahrenheit 451 - Edição especial;69,90;44,90;2;22,45
 Arsène Lupin;47,56;47,56;1;47,56
 Morte no Nilo;44,90;25,00;1;25,00
 O medo mais profundo (Myron Bolitar – Livro 7);39,90;12,40;1;12,40
 O Livro Mágico para Jovens Bruxas;54,90;41,20;2;20,60
 Relógio de estrelas;54,90;41,20;2;20,60
 As Desolações do Recanto do Demônio;79,90;79,90;1;79,90
 Ruína e ascensão;54,90;36,90;2;18,45
 As quatro rainhas mortas;49,90;32,70;2;16,35
 Mistborn Segunda Era - A liga da lei;49,90;26,90;1;26,90
 Universidade Monstros;49,00;44,10;1;44,10
 Frozen;69,00;35,91;1;35,91
 Meu castelo dos contos de fadas;119,00;69,90;4;17,48
 Star Wars: O arquivo rebelde;99,90;50,90;3;16,97
 Beren e Lúthien;59,90;38,90;2;19,45
 Star Wars: Livro dos Sith;99,90;55,80;3;18,60
 Box Peter Pan;34,94;31,45;1;31,45
 Princesinha Sofia;54,00;25,90;1;25,90
 Moana;79,90;62,91;2;34,95
 365 dias;44,90;29,90;1;29,90
 A Festa no Céu;34,31;34,31;1;34,31
 O Hobbit - Capa Smaug;44,90;27,60;1;27,60
 A viúva silenciosa;54,90;34,90;2;17,45
 A ascensão da magia (Crônicas da Escolhida – Livro 3);49,90;29,90;1;29,90
 O nome do vento – Edição luxo (A Crônica do Matador do Rei – Livro 1);89,90;67,30;4;16,83
 O vento pela fechadura;59,90;28,40;1;28,40
 As primeiras quinze vidas de Harry August;64,90;37,43;2;18,72
 Corrente de ouro (Vol 1. As últimas horas);64,90;45,40;3;15,13
 Piano Mecânico;69,90;29,90;1;29,90
 Jogador Número Dois;69,90;40,70;2;20,35
 Assassinato no Expresso Oriente;29,90;20,72;1;20,72
 A grande ilusão;35,01;31,51;1;31,51
 Quadribol através dos séculos;20,00;9,70;1;9,70
 Tempo do desprezo - The Witcher - A saga do bruxo Geralt de Rívia;49,90;33,90;2;16,95
 HARRY POTTER E O PRISIONEIRO DE AZKABAN (CAPA DURA) – Edição Comemorativa dos 20 anos da Coleção Harry Potter;69,90;38,90;2;19,45
 Harry potter e as relíquias da morte;38,94;33,10;1;33,10
 Box Jurassic Park;139,90;71,01;2;35,51
 Batismo de fogo - The Witcher - A saga do bruxo Geralt de Rívia;39,90;34,90;2;17,45
 Harry potter e a ordem da fênix;41,94;35,65;1;35,65
 Tempo do desprezo - The Witcher - A saga do bruxo Geralt de Rívia (capa dura);64,90;39,50;2;19,75
 O Silêncio da Cidade Branca;59,90;27,90;1;27,90
 As Crônicas das Sombras;64,90;46,90;3;15,63
 Contos Inacabados de Númenor e da Terra-média;69,90;44,20;2;22,10
 O cavalo amarelo;44,90;24,90;1;24,90
 A morte e a vida de Alan Turing;59,90;42,90;2;21,45
 Canção de ninar;34,90;34,90;1;34,90
 Cinderela está morta;37,91;34,12;1;34,12
 As crônicas de Nárnia - O leão, a feiticeira e o guarda-roupa;44,90;24,90;1;24,90
 O silêncio da chuva;59,90;39,90;2;19,95
 As crônicas de Nárnia - volume único;114,88;41,29;1;41,29
 Turma da Mônica - Uma Viagem do Brasil ao Japão;34,31;34,31;1;34,31
 Belas adormecidas;79,90;59,80;3;19,93
 Torre do alvorecer;74,90;52,40;3;17,47
 Venha o que vier;59,90;36,90;2;18,45
 Sol e tormenta;37,91;34,12;1;34,12
 O guia de mistério e diversão do Dipper e da Mabel!;79,90;51,90;1;51,90
 Uma chama entre as cinzas (Vol. 1);41,42;37,28;1;37,28
 Fantasmas do Mercado das Sombras;59,90;32,90;2;16,45
 Os elefantes nao esquecem;34,90;23,10;1;23,10
 Uma aposta irresistível;31,90;31,90;1;31,90
 Lendários;64,90;51,90;1;51,90
 Imitação mortal (Vol. 17);59,90;14,90;1;14,90
 Três coroas negras (Livro 1);39,90;26,91;1;26,91
 A maldição do mar;44,90;31,90;2;15,95
 Tempo de Tempestade - The Witcher - A Saga do Bruxo Geralt de Rivia - Prelúdio (Capa game);49,90;34,90;2;17,45
 Crime e castigo;11,71;10,54;1;10,54
 A vida secreta dos escritores;64,90;42,90;1;42,90
 Príncipe mecânico (Vol. 2 As Peças Infernais);59,90;36,90;2;18,45
 Árvore dos Desejos;54,90;24,90;1;24,90
 O universo de Harry Potter de A a Z;19,90;13,70;1;13,70
 Guerra do Velho;64,90;29,90;1;29,90
A Dança dos Dragões ;35,00;31,50;1;31,50
 A garota que bebeu a lua;54,90;29,90;1;29,90
 O último desejo - The Witcher - A saga do bruxo Geralt de Rívia (capa dura);64,90;45,40;3;15,13
 Um tom mais escuro de magia (Vol. 1 Os tons de magia);59,90;32,90;2;16,45
 O segredo do colecionador;43,90;39,51;1;39,51
 Ilíada;28,90;28,90;1;28,90
 A mansão hollow;34,90;25,10;1;25,10
 Gente Ansiosa;64,90;45,56;1;45,56
 HARRY POTTER E O ENIGMA DO PRÍNCIPE (CAPA DURA) – Edição Comemorativa dos 20 anos da Coleção Harry Potter –;74,90;41,90;2;20,95
 O Corvo;49,90;29,30;1;29,30
 H.P. Lovecraft - Medo Clássico - Vol. 1 - Miskatonic Edition;64,90;43,90;2;21,95
 M ou N?;44,90;44,90;1;44,90
 Procure nas cinzas;59,90;41,51;1;41,51
 Kindred: laços de sangue;54,90;27,90;1;27,90
 Star Wars : Kenobi;79,90;74,31;2;39,95
 O guia da Star e do Marco para zerar todas as dimensões;49,90;44,91;1;44,91
 Um encontro de sombras (Vol. 2 Tons de magia);59,90;39,90;2;19,95
 Neuromancer;54,90;32,90;2;16,45
 Vingança (Vol. 2 Vilões);59,90;42,90;2;21,45
 Filhos do Éden: Paraíso Perdido (Vol. 3);64,90;45,90;1;45,90
 QUADRIBOL ATRAVÉS DOS SÉCULOS ( CAPA DURA – ILUSTRADO);149,90;80,80;5;16,16
 Cretino irresistível;19,90;17,91;1;17,91
 O bater de suas asas;54,90;34,90;2;17,45
 Paixão (Vol. 3 Fallen);54,90;29,90;1;29,90
 Harry Potter - Guia cinematográfico;24,90;13,90;1;13,90
 Nevermoor;54,90;24,90;1;24,90
 Boneco de neve;59,90;31,60;2;15,80
 Cabala e a arte de manutenção da carroça;24,90;13,00;1;13,00
 Leopardo Negro, Lobo Vermelho;99,90;59,90;3;19,97
